sequence_id,family,host,cluster,umap_x,umap_y
AB605245.1,adenoviridae,human,464,8.175038,14.8624735
AB605246.1,adenoviridae,human,464,8.1866255,14.8489485
AB562586.1,adenoviridae,human,464,8.441169,14.56083
AB562587.1,adenoviridae,human,464,8.425339,14.569235
AB562588.1,adenoviridae,human,464,8.353317,14.612941
HM565136.3,adenoviridae,human,2,0.5037377,3.3803215
HM770721.2,adenoviridae,human,464,8.356912,14.610408
GU936707.2,adenoviridae,non-human,309,4.9846897,1.0388905
HQ003817.1,adenoviridae,human,503,-4.4583464,8.767045
FJ349096.1,adenoviridae,human,503,-4.447158,8.780668
FN824512.2,adenoviridae,non-human,309,5.011828,1.0352081
GQ384080.1,adenoviridae,human,464,8.448032,14.548977
GU226970.2,adenoviridae,non-human,502,3.5592263,2.723508
FJ619037.1,adenoviridae,human,464,8.305866,14.691766
FJ597732.1,adenoviridae,human,2,2.6410162,4.0849805
GU191019.1,adenoviridae,human,2,0.8266755,7.023528
GQ478341.1,adenoviridae,human,13,11.726524,5.4553947
EF011630.1,adenoviridae,human,2,2.8994043,4.01044
EF564600.1,adenoviridae,human,13,12.396521,4.6010356
FJ643676.1,adenoviridae,human,2,2.3549747,4.119244
FJ025899.1,adenoviridae,human,464,8.521474,13.528682
FJ025900.1,adenoviridae,human,464,8.521445,13.5165615
FJ025901.1,adenoviridae,human,464,8.520307,13.511812
FJ025902.1,adenoviridae,human,464,8.523238,13.525809
FJ025904.1,adenoviridae,human,464,8.519362,13.52765
FJ025905.1,adenoviridae,human,464,8.519851,13.525005
FJ025906.1,adenoviridae,human,464,8.515943,13.5454855
FJ025907.1,adenoviridae,human,464,8.52039,13.5256
FJ025908.1,adenoviridae,human,15,7.207479,8.01047
FJ025909.1,adenoviridae,human,15,7.210508,8.015323
FJ025910.1,adenoviridae,human,15,7.294359,7.7016745
FJ025911.1,adenoviridae,human,15,7.2153177,8.006243
FJ025912.1,adenoviridae,human,15,7.3065753,7.690675
FJ025913.1,adenoviridae,human,15,7.2082815,8.014459
FJ025914.1,adenoviridae,human,15,7.2055745,8.016748
FJ025915.1,adenoviridae,human,15,7.2085686,8.01294
FJ025916.1,adenoviridae,human,15,7.2063055,8.015736
FJ025918.1,adenoviridae,human,464,8.468309,13.914993
FJ025919.1,adenoviridae,human,464,8.466199,13.90934
FJ025920.1,adenoviridae,human,464,8.466491,13.909574
FJ025921.1,adenoviridae,human,464,8.463548,13.9033165
FJ025922.1,adenoviridae,human,464,8.470186,13.913387
FJ025923.1,adenoviridae,human,464,8.465735,13.907055
FJ025924.1,adenoviridae,human,464,8.469515,13.916127
FJ025925.1,adenoviridae,human,464,8.521373,13.527499
FJ025926.1,adenoviridae,human,464,8.517497,13.552273
FJ025927.1,adenoviridae,human,15,7.209082,8.016655
FJ025928.1,adenoviridae,human,15,7.2091107,8.010943
FJ025929.1,adenoviridae,human,15,7.2124023,8.0066805
FJ025930.1,adenoviridae,human,15,7.209116,8.016347
FJ025931.1,adenoviridae,non-human,464,8.467748,13.856571
FJ824826.1,adenoviridae,human,464,8.46951,14.525655
EU835513.1,adenoviridae,non-human,2,1.5147879,6.706698
FJ822614.1,adenoviridae,human,20,8.469021,8.756308
AB448767.1,adenoviridae,human,513,-5.670899,-2.0770595
AB448768.1,adenoviridae,human,513,-5.673008,-2.077913
AB448769.1,adenoviridae,human,513,-5.679331,-2.0836387
AB448770.2,adenoviridae,human,157,-2.3512511,10.890125
AB448771.1,adenoviridae,human,464,8.343742,14.616675
AB448772.1,adenoviridae,human,123,0.39868373,0.26473808
AB448773.1,adenoviridae,human,123,0.3961064,0.25362784
AB448774.1,adenoviridae,human,123,0.39737684,0.2638692
AB448775.1,adenoviridae,human,509,-3.8971903,5.380968
AB448776.1,adenoviridae,human,509,-3.8964467,5.38668
AB448777.1,adenoviridae,human,509,-3.8988392,5.3803153
AB448778.1,adenoviridae,human,509,-3.895772,5.3833895
FJ404771.1,adenoviridae,human,464,8.30158,14.702875
EU715130.4,adenoviridae,non-human,2,3.3091557,7.635734
EF121005.1,adenoviridae,human,123,0.40452555,0.27468112
FJ169625.1,adenoviridae,human,464,8.182783,14.855752
AB333801.2,adenoviridae,human,157,-2.3511784,10.890214
DQ900900.1,adenoviridae,human,509,-3.9017143,5.373769
DQ106414.1,adenoviridae,non-human,2,1.467249,7.597601
EF371058.2,adenoviridae,human,464,8.480923,13.877529
EF153473.1,adenoviridae,human,464,8.44075,14.558676
EF153474.1,adenoviridae,human,464,8.440234,14.5605
DQ393829.1,adenoviridae,human,464,8.463812,14.531139
DQ792570.1,adenoviridae,human,499,1.4287916,1.9262507
AY599834.1,adenoviridae,human,13,12.395507,4.5864844
AY599835.1,adenoviridae,human,502,3.9354994,2.4708304
AY599836.1,adenoviridae,human,13,12.438701,4.7016163
AY599837.1,adenoviridae,human,502,3.6961725,2.5920048
AY601633.1,adenoviridae,human,15,7.3681607,7.735472
AY601634.1,adenoviridae,human,13,11.770111,5.440273
AY601635.1,adenoviridae,human,134,2.434458,14.946238
AY601636.1,adenoviridae,human,15,7.25627,7.4879494
DQ315364.2,adenoviridae,human,2,0.5340479,3.3645937
AY849321.1,adenoviridae,non-human,2,3.5274365,7.9256096
DQ086466.1,adenoviridae,human,13,12.398356,4.5862226
AY803294.1,adenoviridae,human,20,8.479194,8.761
AY737797.1,adenoviridae,human,2,2.9157376,3.994065
AY737798.1,adenoviridae,human,15,7.322718,7.6887317
DQ099432.4,adenoviridae,human,13,12.418265,4.143057
DQ105654.4,adenoviridae,human,13,12.505694,4.07591
AY594254.1,adenoviridae,human,464,8.480832,13.875836
AY594256.1,adenoviridae,human,13,11.673348,5.470362
AY875648.1,adenoviridae,human,464,8.328093,14.628319
AY771780.1,adenoviridae,human,499,1.4308175,1.934589
AY594255.1,adenoviridae,human,13,11.727032,5.449965
AJ854486.1,adenoviridae,human,464,8.400579,14.573889
AY598970.1,adenoviridae,human,2,2.8955495,3.9975686
AY458656.2,adenoviridae,human,464,8.481643,13.876047
AY598782.1,adenoviridae,non-human,499,1.452115,1.9480989
AY487947.1,adenoviridae,human,464,8.480694,13.87685
AY421748.1,adenoviridae,non-human,2,2.2035382,1.9306854
AY421749.1,adenoviridae,non-human,2,1.753084,3.516426
AY530876.1,adenoviridae,human,464,8.506857,13.954707
AY530877.1,adenoviridae,human,464,8.4668865,13.914374
AY495969.1,adenoviridae,human,13,11.664737,5.472346
AY128640.2,adenoviridae,human,2,2.9416091,3.9915652
AF534906.1,adenoviridae,human,504,4.7481365,-3.5735893
AY339865.1,adenoviridae,human,134,2.48078,14.902776
AY271307.1,adenoviridae,human,2,2.9314907,3.9900153
AF532578.1,adenoviridae,human,2,2.8966892,4.002851
AF258784.1,adenoviridae,non-human,2,1.5186099,7.630344
AY163756.1,adenoviridae,human,2,2.8969898,3.997229
AF289262.1,adenoviridae,non-human,2,3.0008948,5.374202
AF252854.1,adenoviridae,non-human,2,1.2991686,6.9102993
AF224336.1,adenoviridae,non-human,2,3.3162644,7.7185035
AF083975.2,adenoviridae,non-human,2,1.892138,2.928058
AB026117.1,adenoviridae,non-human,5,7.5679574,5.109854
AJ237815.1,adenoviridae,non-human,5,7.567535,5.111742
AF083132.1,adenoviridae,non-human,5,7.5673537,5.111764
AF074946.1,adenoviridae,non-human,2,3.5802248,7.944605
AF030154.1,adenoviridae,non-human,2,1.4247769,4.698893
AF036092.3,adenoviridae,non-human,2,3.2712185,7.4471493
Y09598.1,adenoviridae,non-human,2,2.6759858,7.38374
U40839.3,adenoviridae,non-human,2,3.6112106,7.8971376
U77082.1,adenoviridae,non-human,2,1.0250427,5.738127
Y07760.1,adenoviridae,non-human,2,1.3156134,6.921559
U46933.1,adenoviridae,non-human,2,2.0916607,3.668922
L19443.1,adenoviridae,human,505,7.959655,-6.2213745
X73487.1,adenoviridae,human,2,0.7585216,7.03651
J01917.1,adenoviridae,human,503,-4.325097,8.865602
NC_075417.1,orthoherpesviridae,non-human,2,2.6739616,5.0579896
NC_075563.1,orthoherpesviridae,non-human,519,-12.130135,3.822432
NC_075564.1,orthoherpesviridae,non-human,519,-12.12587,3.826615
NC_075566.1,orthoherpesviridae,non-human,2,1.9274422,4.475519
NC_075683.1,orthoherpesviridae,non-human,2,1.4601201,7.621393
NC_075687.1,orthoherpesviridae,non-human,2,1.7144773,8.620736
NC_075689.1,orthoherpesviridae,non-human,520,-0.18239325,16.533413
NC_075702.1,orthoherpesviridae,non-human,2,1.9161438,3.0778027
NC_075725.1,orthoherpesviridae,non-human,2,2.3255706,2.2065616
NC_076129.1,orthoherpesviridae,non-human,2,2.059617,2.6905584
NC_076164.1,orthoherpesviridae,non-human,2,2.1300416,1.4199255
NC_076165.1,orthoherpesviridae,non-human,2,2.126872,1.4169749
NC_076509.1,orthoherpesviridae,non-human,519,-12.123445,3.833307
NC_076512.1,orthoherpesviridae,non-human,2,2.4116504,2.014257
NC_076513.1,orthoherpesviridae,non-human,2,1.6799457,4.579614
NC_076964.1,orthoherpesviridae,non-human,2,2.2472234,1.608232
NC_076965.1,orthoherpesviridae,non-human,2,2.485946,2.5074837
NC_076967.1,orthoherpesviridae,non-human,2,1.508322,4.8967404
NC_077028.1,orthoherpesviridae,non-human,2,2.2778444,8.13588
NC_063268.1,orthoherpesviridae,non-human,519,-12.425921,3.5016305
NC_055135.1,orthoherpesviridae,non-human,2,1.4413614,4.726492
NC_055141.1,orthoherpesviridae,non-human,92,-4.374775,12.641118
NC_055142.1,orthoherpesviridae,non-human,16,-6.282714,10.405978
NC_055166.1,orthoherpesviridae,non-human,2,2.1761274,1.4868141
NC_055233.1,orthoherpesviridae,non-human,2,1.5910823,6.507938
NC_043054.1,orthoherpesviridae,non-human,519,-12.1233835,3.8289998
NC_040539.1,orthoherpesviridae,non-human,2,1.8611442,6.8054566
NC_035117.1,orthoherpesviridae,non-human,2,2.5337586,2.8977795
NC_034446.1,orthoherpesviridae,non-human,2,2.1450386,1.4381698
NC_033620.1,orthoherpesviridae,non-human,2,4.0935698,8.023337
NC_033464.1,orthoherpesviridae,non-human,2,1.7096028,8.364047
NC_033176.1,orthoherpesviridae,non-human,2,2.9169703,5.47307
NC_030117.1,orthoherpesviridae,non-human,2,3.998914,8.026158
NC_028379.1,orthoherpesviridae,non-human,309,5.536689,0.8966995
NC_028099.1,orthoherpesviridae,non-human,2,3.455975,7.5101695
NC_027916.2,orthoherpesviridae,non-human,2,1.8598605,8.245751
NC_027016.1,orthoherpesviridae,non-human,2,2.6317015,4.9900694
NC_026421.1,orthoherpesviridae,non-human,521,10.191043,11.636055
NC_024771.1,orthoherpesviridae,non-human,2,2.3037636,1.7023008
NC_024696.1,orthoherpesviridae,non-human,2,3.006499,8.016492
NC_024382.1,orthoherpesviridae,non-human,2,1.3193624,6.7072406
NC_024306.1,orthoherpesviridae,non-human,2,2.4769182,2.4934251
NC_024303.1,orthoherpesviridae,non-human,2,1.3166218,6.926509
NC_023677.1,orthoherpesviridae,non-human,522,-4.050555,0.70428956
NC_022233.1,orthoherpesviridae,non-human,2,2.4049811,7.708751
NC_020474.2,orthoherpesviridae,non-human,2,3.0068176,7.962393
NC_020231.1,orthoherpesviridae,non-human,2,2.097544,2.5632172
NC_019559.2,orthoherpesviridae,non-human,2,2.4899914,7.115104
NC_016447.1,orthoherpesviridae,non-human,309,5.545746,0.9053086
NC_016448.1,orthoherpesviridae,non-human,2,2.8695502,5.9476194
NC_016154.1,orthoherpesviridae,non-human,2,2.9184473,5.4876385
NC_015049.1,orthoherpesviridae,non-human,2,1.3284178,6.689949
NC_014567.1,orthoherpesviridae,non-human,2,2.4092631,1.9816376
NC_013590.2,orthoherpesviridae,non-human,2,1.8960474,8.040433
NC_013036.1,orthoherpesviridae,non-human,2,1.7262138,8.623515
NC_012783.2,orthoherpesviridae,non-human,2,2.7994108,5.228572
NC_011644.1,orthoherpesviridae,non-human,2,2.53623,2.9477465
NC_009333.1,orthoherpesviridae,human,2,1.3964838,4.7122674
NC_009334.1,orthoherpesviridae,human,16,-6.2892785,10.429293
NC_007653.1,orthoherpesviridae,non-human,2,2.116402,1.411929
NC_007646.1,orthoherpesviridae,non-human,2,1.3785536,5.1981144
NC_007605.1,orthoherpesviridae,human,16,-6.2603617,10.405366
NC_007016.1,orthoherpesviridae,non-human,92,-4.3768277,12.644845
NC_006623.1,orthoherpesviridae,non-human,2,1.4545594,7.614064
NC_006560.1,orthoherpesviridae,non-human,2,2.1210933,1.4155799
NC_006273.2,orthoherpesviridae,human,309,5.897695,0.57254976
NC_006150.1,orthoherpesviridae,non-human,2,3.1532686,5.539342
NC_006151.1,orthoherpesviridae,non-human,520,-0.1902975,16.54026
NC_006146.1,orthoherpesviridae,non-human,16,-6.289185,10.410161
NC_005261.3,orthoherpesviridae,non-human,519,-12.133872,3.818739
NC_005264.1,orthoherpesviridae,non-human,2,2.4106474,1.9893335
NC_004812.1,orthoherpesviridae,non-human,2,2.1263545,1.418365
NC_004367.1,orthoherpesviridae,non-human,2,1.5503912,5.5555787
NC_003521.1,orthoherpesviridae,non-human,309,5.4094663,0.9129935
NC_002665.1,orthoherpesviridae,non-human,2,2.0549757,7.0516043
NC_002641.1,orthoherpesviridae,non-human,2,1.880381,8.280667
NC_002686.2,orthoherpesviridae,non-human,2,3.0687742,7.9174466
NC_002512.2,orthoherpesviridae,non-human,2,2.3564644,2.165056
NC_002229.3,orthoherpesviridae,non-human,2,2.3679006,8.296513
NC_000898.1,orthoherpesviridae,human,2,3.0888383,7.894292
NC_001987.1,orthoherpesviridae,non-human,2,3.3765578,7.4176292
NC_001844.1,orthoherpesviridae,non-human,523,-5.063539,17.552197
NC_002531.1,orthoherpesviridae,non-human,2,1.3508316,6.7114215
NC_001826.2,orthoherpesviridae,non-human,2,1.4900043,6.485378
NC_001798.2,orthoherpesviridae,human,347,15.119038,12.654241
NC_004065.1,orthoherpesviridae,non-human,2,2.3359644,2.1862876
NC_001716.2,orthoherpesviridae,human,2,3.2475216,7.472166
NC_001664.4,orthoherpesviridae,human,2,3.0568304,7.8765864
NC_001650.2,orthoherpesviridae,non-human,521,10.258626,11.568534
NC_001491.2,orthoherpesviridae,non-human,2,2.4984164,2.8647227
NC_001350.1,orthoherpesviridae,non-human,2,3.3059614,7.4129314
NC_001806.2,orthoherpesviridae,human,522,-4.0569654,0.70100164
NC_001348.1,orthoherpesviridae,human,344,-2.2806108,5.9248476
OQ730419.1,orthoherpesviridae,non-human,2,1.5608627,7.6304216
PQ014267.1,orthoherpesviridae,non-human,2,2.5379722,2.9121187
OR578701.1,orthoherpesviridae,non-human,2,2.3628175,2.15635
PP897810.1,orthoherpesviridae,non-human,519,-12.134528,3.817969
PP906086.1,orthoherpesviridae,non-human,2,3.0072584,7.9467134
PP906087.1,orthoherpesviridae,non-human,2,2.99816,7.958632
OR801338.1,orthoherpesviridae,non-human,2,2.5350316,2.9061477
PP765803.1,orthoherpesviridae,non-human,523,-5.062101,17.554394
PP481413.1,orthoherpesviridae,non-human,2,2.532695,2.907973
PP261331.1,orthoherpesviridae,human,344,-2.3028796,5.903074
PP349830.1,orthoherpesviridae,non-human,2,4.0241003,8.023242
OR117738.1,orthoherpesviridae,human,2,1.3989584,4.717777
PP032834.1,orthoherpesviridae,non-human,2,2.3627222,8.261587
PP097194.1,orthoherpesviridae,non-human,520,-0.15850355,16.499077
PP034747.2,orthoherpesviridae,non-human,2,1.8764688,8.055621
PP062926.1,orthoherpesviridae,non-human,2,1.4726634,7.632298
PP062927.1,orthoherpesviridae,non-human,2,1.4695785,7.6325645
PP062928.1,orthoherpesviridae,non-human,2,1.4649775,7.628777
PP062929.1,orthoherpesviridae,non-human,2,1.4528704,7.6442184
PP062930.1,orthoherpesviridae,non-human,2,1.4519299,7.6428447
PP062931.1,orthoherpesviridae,non-human,2,1.4653745,7.61928
PP062932.1,orthoherpesviridae,non-human,2,1.4690157,7.632647
OR906269.1,orthoherpesviridae,non-human,2,1.4917376,7.6608973
OR074929.1,orthoherpesviridae,human,2,1.3852136,4.6895328
OR074930.1,orthoherpesviridae,human,2,1.4130844,4.723617
OR074931.1,orthoherpesviridae,human,2,1.3913888,4.6881657
OR074932.1,orthoherpesviridae,human,2,1.3788606,4.6845527
OR074933.1,orthoherpesviridae,human,2,1.4131485,4.702577
OR074934.1,orthoherpesviridae,human,2,1.3901311,4.6965156
OR074935.1,orthoherpesviridae,human,2,1.3511233,4.6398168
OR074936.1,orthoherpesviridae,human,2,1.3805546,4.70754
OR074937.1,orthoherpesviridae,human,2,1.3765998,4.713681
OR074938.1,orthoherpesviridae,human,2,1.3967583,4.681257
OR074939.1,orthoherpesviridae,human,2,1.3920316,4.7019305
OR343211.1,orthoherpesviridae,non-human,2,2.5235462,7.0839486
OR573937.1,orthoherpesviridae,human,2,1.400228,4.7650743
OR670951.1,orthoherpesviridae,non-human,2,1.3694425,5.2377467
OR757570.1,orthoherpesviridae,non-human,2,1.6946926,8.645076
OR666765.1,orthoherpesviridae,non-human,520,-0.1474789,16.50781
MW429039.1,orthoherpesviridae,non-human,521,10.194669,11.6323185
MW429040.1,orthoherpesviridae,non-human,521,10.190658,11.642481
MW429041.1,orthoherpesviridae,non-human,521,10.191994,11.63803
MW429042.1,orthoherpesviridae,non-human,521,10.190421,11.637798
MW429043.1,orthoherpesviridae,non-human,521,10.191637,11.637498
ON415274.1,orthoherpesviridae,non-human,2,1.4500319,7.6347446
ON415275.1,orthoherpesviridae,non-human,2,1.4937963,7.624507
ON415276.1,orthoherpesviridae,non-human,2,1.4788661,7.606054
OR543011.1,orthoherpesviridae,non-human,2,2.9502323,7.913109
OR271601.1,orthoherpesviridae,non-human,520,-0.15142933,16.494465
OR546126.1,orthoherpesviridae,human,309,5.497096,0.9441687
OR546127.1,orthoherpesviridae,human,309,5.7967153,0.6627419
OR546128.1,orthoherpesviridae,human,309,5.8094234,0.64889604
OR546129.1,orthoherpesviridae,human,309,5.502163,0.94124025
OR546130.1,orthoherpesviridae,human,309,5.535887,0.89133567
OQ871571.1,orthoherpesviridae,human,344,-2.251205,5.9375854
OQ723678.1,orthoherpesviridae,human,344,-2.265781,5.924606
OQ724831.1,orthoherpesviridae,human,522,-4.061909,0.70906955
OQ724832.1,orthoherpesviridae,human,522,-4.061092,0.71310484
OQ724833.1,orthoherpesviridae,human,522,-4.053343,0.71026576
OQ724834.1,orthoherpesviridae,human,522,-4.057278,0.7100014
OQ724835.1,orthoherpesviridae,human,522,-4.0576234,0.7060504
OQ724863.1,orthoherpesviridae,human,522,-4.0617766,0.71343786
OQ724864.1,orthoherpesviridae,human,522,-4.063039,0.71056354
OQ724865.1,orthoherpesviridae,human,522,-4.0545297,0.70520693
OQ724866.1,orthoherpesviridae,human,522,-4.062791,0.71099186
OQ724867.1,orthoherpesviridae,human,522,-4.059376,0.7133624
OQ724868.1,orthoherpesviridae,human,522,-4.066955,0.7141517
OQ724888.1,orthoherpesviridae,human,522,-4.059783,0.70715123
OQ724889.1,orthoherpesviridae,human,522,-4.0584855,0.7095175
OQ724890.1,orthoherpesviridae,human,522,-4.0598025,0.70751625
OQ724891.1,orthoherpesviridae,human,522,-4.0630345,0.7220305
OQ724892.1,orthoherpesviridae,human,522,-4.0378795,0.6805457
OQ724893.1,orthoherpesviridae,human,522,-4.0621805,0.71437836
OQ724894.1,orthoherpesviridae,human,522,-4.0608673,0.7159775
OQ724895.1,orthoherpesviridae,human,522,-4.0520697,0.7039173
OQ724910.1,orthoherpesviridae,human,522,-4.0571923,0.70831037
OQ724911.1,orthoherpesviridae,human,522,-4.0600405,0.70787275
OQ724912.1,orthoherpesviridae,human,522,-4.0536056,0.6999482
OQ724913.1,orthoherpesviridae,human,522,-4.0609922,0.7169284
OQ724914.1,orthoherpesviridae,human,522,-4.058532,0.7108874
OQ724915.1,orthoherpesviridae,human,522,-4.0689206,0.715196
OQ724932.1,orthoherpesviridae,human,522,-4.0655994,0.71339375
OQ724933.1,orthoherpesviridae,human,522,-4.0605774,0.7135548
OQ724934.1,orthoherpesviridae,human,522,-4.0631433,0.71143013
OQ724935.1,orthoherpesviridae,human,522,-4.0640407,0.7197599
OQ724936.1,orthoherpesviridae,human,522,-4.059583,0.7049586
OQ724938.1,orthoherpesviridae,human,522,-4.080972,0.72023183
OQ724939.1,orthoherpesviridae,human,522,-4.0652094,0.71582174
OQ724940.1,orthoherpesviridae,human,522,-4.0573792,0.7061652
OQ724941.1,orthoherpesviridae,human,522,-4.059229,0.7062868
OP871840.1,orthoherpesviridae,human,522,-4.069664,0.72885966
OP871841.1,orthoherpesviridae,human,522,-4.076403,0.7394539
OP871843.1,orthoherpesviridae,human,522,-4.073025,0.73620313
OP871844.1,orthoherpesviridae,human,522,-4.0737762,0.7293984
OP871845.1,orthoherpesviridae,human,522,-4.0646625,0.7202902
OP871846.1,orthoherpesviridae,human,522,-4.06522,0.7191475
OP871847.1,orthoherpesviridae,human,522,-4.069124,0.7261025
OP871848.1,orthoherpesviridae,human,522,-4.064455,0.71896577
OP871849.1,orthoherpesviridae,human,522,-4.06929,0.724698
OP871850.1,orthoherpesviridae,human,522,-4.064904,0.7192043
OP871851.1,orthoherpesviridae,human,522,-4.0862737,0.7411045
OP871852.1,orthoherpesviridae,human,522,-4.0944276,0.7379116
OP871854.1,orthoherpesviridae,human,522,-4.065018,0.7192478
OP871855.1,orthoherpesviridae,human,522,-4.073947,0.7305254
OP871856.1,orthoherpesviridae,human,522,-4.0771956,0.73579705
OP871857.1,orthoherpesviridae,human,522,-4.1090426,0.76504815
OP871858.1,orthoherpesviridae,human,522,-4.076405,0.7237894
OP871859.1,orthoherpesviridae,human,522,-4.078483,0.73774946
OU342900.1,orthoherpesviridae,human,309,5.6172576,0.8283375
OU342911.1,orthoherpesviridae,human,309,5.638052,0.7758628
OU342912.1,orthoherpesviridae,human,309,5.642703,0.79419494
OU342913.1,orthoherpesviridae,human,309,5.550962,0.88503516
OU342914.1,orthoherpesviridae,human,309,5.5658283,0.8874158
OU342915.1,orthoherpesviridae,human,309,5.5866094,0.85353607
OU342916.1,orthoherpesviridae,human,309,5.48634,0.88302296
OU342917.1,orthoherpesviridae,human,309,5.498136,0.88704854
OU342918.1,orthoherpesviridae,human,309,5.4725847,0.9410641
OQ466311.1,orthoherpesviridae,human,309,5.506869,0.93538773
OQ466312.1,orthoherpesviridae,human,309,5.81138,0.6341821
OQ623324.1,orthoherpesviridae,non-human,2,1.8915625,8.054347
OP684796.1,orthoherpesviridae,non-human,2,1.637141,4.633929
OP589231.1,orthoherpesviridae,non-human,520,-0.16875125,16.510206
OP605538.1,orthoherpesviridae,non-human,520,-0.15499273,16.498297
OP512542.1,orthoherpesviridae,non-human,520,-0.12338184,16.466139
OP727800.1,orthoherpesviridae,non-human,520,-0.17259933,16.52026
OP727801.1,orthoherpesviridae,non-human,520,-0.15413763,16.49656
OP727802.1,orthoherpesviridae,non-human,520,-0.15894307,16.500134
OP727803.1,orthoherpesviridae,non-human,520,-0.15510754,16.496376
OP727804.1,orthoherpesviridae,non-human,520,-0.156759,16.49832
OP727805.1,orthoherpesviridae,non-human,520,-0.15282264,16.498373
OP429138.1,orthoherpesviridae,non-human,2,2.5799227,6.152423
OP429139.1,orthoherpesviridae,non-human,2,2.625686,5.9971876
OP429140.1,orthoherpesviridae,non-human,2,2.2304847,8.079076
OP429142.1,orthoherpesviridae,non-human,2,2.3381875,2.19145
OP429144.1,orthoherpesviridae,non-human,2,2.3546968,2.166916
ON513441.1,orthoherpesviridae,human,522,-4.0536757,0.70095634
OP271695.1,orthoherpesviridae,non-human,2,2.4818897,2.9536455
OP297874.1,orthoherpesviridae,human,522,-4.031135,0.6827457
OP376823.1,orthoherpesviridae,non-human,520,-0.1557108,16.497725
MZ219273.1,orthoherpesviridae,non-human,520,-0.15487278,16.498924
OP035381.1,orthoherpesviridae,non-human,519,-12.382213,3.5472665
OL982749.1,orthoherpesviridae,non-human,2,2.9560983,8.035913
ON598585.1,orthoherpesviridae,non-human,2,1.5109043,7.6762724
ON598586.1,orthoherpesviridae,non-human,2,1.5118744,7.629298
MK905886.1,orthoherpesviridae,non-human,2,1.4502823,7.618162
MK905887.1,orthoherpesviridae,non-human,2,1.4439123,7.6108074
MW322569.1,orthoherpesviridae,non-human,521,10.254855,11.56455
MW322570.1,orthoherpesviridae,non-human,521,10.259465,11.566717
MW322571.1,orthoherpesviridae,non-human,521,10.25535,11.5702095
MW322572.1,orthoherpesviridae,non-human,521,10.25808,11.569649
MW322573.1,orthoherpesviridae,non-human,521,10.258855,11.568414
MW322574.1,orthoherpesviridae,non-human,521,10.258711,11.572446
MW322575.1,orthoherpesviridae,non-human,521,10.257761,11.569109
MW322576.1,orthoherpesviridae,non-human,521,10.255694,11.567409
MW322577.1,orthoherpesviridae,non-human,521,10.259977,11.567462
MW322578.1,orthoherpesviridae,non-human,521,10.259619,11.566214
MW322579.1,orthoherpesviridae,non-human,521,10.263748,11.562546
MW322580.1,orthoherpesviridae,non-human,521,10.260626,11.566399
MW322581.1,orthoherpesviridae,non-human,521,10.251511,11.569467
MW322582.1,orthoherpesviridae,non-human,521,10.226948,11.599196
MW322583.1,orthoherpesviridae,non-human,521,10.254466,11.567552
MW322584.1,orthoherpesviridae,non-human,521,10.258631,11.569581
MW322585.1,orthoherpesviridae,non-human,521,10.276409,11.549913
MW322586.1,orthoherpesviridae,non-human,521,10.25826,11.569954
MZ063026.1,orthoherpesviridae,non-human,520,-0.15571462,16.499153
MZ517254.1,orthoherpesviridae,non-human,2,3.063917,5.5512404
OK338076.1,orthoherpesviridae,non-human,520,-0.14406481,16.474823
OK338077.1,orthoherpesviridae,non-human,520,-0.15760924,16.49788
MZ923811.1,orthoherpesviridae,human,2,1.3828278,4.7592063
MZ923820.1,orthoherpesviridae,human,2,1.412562,4.7547774
MZ923822.1,orthoherpesviridae,human,2,1.3893352,4.741948
MZ923827.1,orthoherpesviridae,human,2,1.4284363,4.833314
OV100760.1,orthoherpesviridae,human,309,5.594091,0.8441799
OV100762.1,orthoherpesviridae,human,309,5.6018186,0.79912156
OV100763.1,orthoherpesviridae,human,309,5.584014,0.86154217
OK573459.1,orthoherpesviridae,non-human,2,1.4793177,7.6202517
OK624781.1,orthoherpesviridae,non-human,2,1.4679902,7.6273046
MW286330.1,orthoherpesviridae,non-human,520,-0.15577789,16.49849
MW256631.1,orthoherpesviridae,non-human,2,1.6119599,6.511518
MW256632.1,orthoherpesviridae,non-human,2,1.6405244,6.5327015
OL606749.1,orthoherpesviridae,non-human,520,-0.15450144,16.496716
OK000909.1,orthoherpesviridae,human,309,5.900744,0.571516
OK000910.1,orthoherpesviridae,human,309,5.5375385,0.88914615
OK000911.1,orthoherpesviridae,human,309,5.5157356,0.85713166
OK000912.1,orthoherpesviridae,human,309,5.512241,0.8749942
OK149191.1,orthoherpesviridae,non-human,2,2.3204024,2.207221
MW893682.1,orthoherpesviridae,non-human,520,-0.15639879,16.49867
OK032545.1,orthoherpesviridae,non-human,2,3.533832,7.7263412
OK337614.1,orthoherpesviridae,non-human,2,1.8186327,6.493169
OK337615.1,orthoherpesviridae,non-human,2,1.7809389,6.4555273
OM370995.1,orthoherpesviridae,human,347,15.118745,12.654218
MZ712172.1,orthoherpesviridae,human,2,1.3992945,4.706844
MZ712173.1,orthoherpesviridae,human,2,1.4025629,4.7049475
MZ712174.1,orthoherpesviridae,human,2,1.4126765,4.711656
MZ712175.1,orthoherpesviridae,human,2,1.4288973,4.7104683
MZ712176.1,orthoherpesviridae,human,2,1.3951471,4.706868
MZ712177.1,orthoherpesviridae,human,2,1.360134,4.690422
MZ712178.1,orthoherpesviridae,human,2,1.3938334,4.7039313
MZ712179.1,orthoherpesviridae,human,2,1.377799,4.6998806
